"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Windows\System32\weaccelerate\measurement-converter\src\MeasurementConverter.js", "JavaScript", 77, 1, 1, 79
"Total", "-", 77, 1, 1, 79
